user_id,total_spent
314,14709.42
230,14504.13
475,14359.53
373,14330.89
258,14322.63
473,13973.59
325,13922.23
17,13826.11
499,13708.52
459,13664.22
345,13533.79
385,13464.23
54,13441.65
315,13306.9
124,13247.23
298,13246.15
454,13219.19
392,13200.29
261,13091.69
65,13075.08
358,13045.12
68,12890.9
144,12880.99
346,12872.03
440,12863.75
149,12859.03
252,12848.01
126,12826.92
427,12819.64
169,12742.0
113,12713.82
379,12696.84
16,12676.76
70,12651.44
21,12642.19
451,12641.66
253,12630.11
387,12627.93
87,12600.08
44,12581.1
106,12572.79
318,12551.52
80,12512.16
446,12480.7
283,12455.65
342,12437.64
493,12423.4
14,12409.69
143,12394.92
78,12387.13
337,12371.76
445,12329.32
366,12302.88
233,12299.8
281,12292.08
492,12284.48
280,12278.01
182,12268.83
367,12256.45
18,12247.24
464,12245.73
248,12243.5
343,12239.91
359,12237.29
448,12204.83
355,12204.57
304,12139.57
46,12128.52
293,12118.63
333,12112.84
301,12084.92
388,12077.95
480,12077.47
12,12042.98
422,12042.47
35,12040.93
407,12039.12
417,12028.32
91,12027.31
400,12018.24
374,11996.39
221,11990.7
75,11974.92
416,11972.15
29,11957.02
59,11955.67
36,11949.58
306,11945.07
83,11943.04
254,11935.62
331,11919.46
189,11906.63
488,11883.43
49,11868.48
347,11853.22
329,11849.54
271,11849.32
268,11844.36
195,11840.1
323,11838.32
43,11830.6
302,11820.12
140,11806.72
96,11798.49
295,11778.65
163,11777.64
394,11771.62
426,11763.07
257,11757.72
375,11751.68
26,11727.37
88,11694.58
320,11690.13
402,11683.39
222,11672.35
432,11666.52
296,11664.87
256,11661.01
166,11640.41
197,11632.23
344,11618.11
227,11617.49
231,11615.63
391,11615.02
415,11614.42
498,11608.04
463,11597.8
276,11597.19
95,11581.26
110,11573.88
104,11570.55
119,11568.95
51,11567.23
485,11566.1
482,11560.41
207,11558.51
263,11550.43
218,11539.41
495,11532.47
244,11530.59
98,11529.5
336,11517.9
438,11517.32
462,11506.2
109,11496.99
500,11492.45
97,11491.46
76,11482.85
64,11481.18
327,11475.41
282,11456.1
13,11448.49
332,11440.79
108,11437.43
335,11429.41
148,11427.42
352,11420.88
429,11419.78
289,11402.06
61,11399.49
450,11390.42
351,11386.65
243,11380.22
286,11378.71
112,11375.27
187,11373.56
147,11366.7
340,11360.710000000001
131,11348.33
287,11329.49
245,11322.98
66,11312.09
137,11305.05
203,11288.61
214,11278.77
220,11263.97
79,11259.44
460,11256.09
38,11242.539999999999
278,11222.55
409,11219.89
341,11215.44
73,11214.88
242,11206.21
238,11205.24
41,11190.75
376,11176.57
453,11176.06
234,11174.1
28,11171.44
319,11167.46
477,11156.5
186,11146.91
37,11133.93
196,11133.63
1,11125.13
249,11119.59
431,11113.5
487,11109.35
142,11106.55
134,11092.65
383,11091.41
267,11065.48
363,11064.84
370,11062.539999999999
247,11058.93
170,11044.73
201,11034.4
177,11030.97
250,11025.63
139,11022.91
164,11013.01
92,11008.18
395,11004.75
308,11001.8
255,10994.08
193,10988.03
213,10987.08
483,10984.05
357,10977.37
155,10968.59
442,10955.52
471,10951.92
348,10945.13
321,10941.17
215,10935.78
158,10928.36
232,10928.17
90,10924.93
200,10917.3
372,10907.11
160,10870.94
33,10869.16
93,10868.67
309,10867.08
439,10863.28
277,10838.57
386,10816.14
317,10807.35
206,10795.21
405,10789.13
455,10787.99
241,10777.68
180,10776.01
330,10773.23
162,10741.47
11,10739.97
411,10735.06
198,10730.58
118,10729.67
447,10724.71
273,10718.43
224,10698.78
290,10697.57
418,10691.1
382,10690.1
167,10678.8
384,10676.539999999999
136,10676.32
399,10671.01
291,10652.3
458,10641.19
269,10639.4
434,10637.97
71,10637.02
251,10627.48
84,10626.54
24,10624.27
353,10616.95
476,10611.28
34,10604.51
52,10602.2
279,10600.72
259,10597.58
226,10593.23
260,10592.48
145,10590.35
272,10586.81
171,10578.04
489,10563.46
219,10562.52
349,10558.81
129,10548.01
27,10544.58
467,10541.89
47,10533.03
181,10531.8
74,10529.94
381,10523.31
326,10519.26
30,10508.07
150,10506.99
62,10506.13
103,10505.14
168,10499.05
55,10497.87
322,10485.96
468,10481.68
25,10454.16
310,10436.41
107,10435.63
179,10431.64
484,10430.539999999999
225,10426.23
211,10420.98
466,10419.58
305,10416.33
270,10415.52
3,10412.42
228,10409.37
275,10406.3
100,10388.7
465,10386.27
481,10378.42
377,10368.17
178,10364.32
205,10359.65
85,10338.69
183,10331.33
497,10328.39
202,10319.71
433,10313.45
414,10307.03
77,10306.28
491,10259.9
369,10249.59
397,10244.18
58,10221.27
10,10213.2
45,10209.8
398,10209.75
122,10209.4
174,10202.53
297,10201.69
421,10194.67
2,10191.51
403,10183.56
209,10175.539999999999
216,10169.57
425,10148.5
428,10147.26
128,10133.56
5,10129.16
339,10123.67
328,10112.56
53,10097.91
478,10091.82
8,10088.69
81,10088.09
210,10082.48
212,10079.5
265,10064.2
362,10058.75
424,10056.27
101,10049.49
239,10044.67
130,10041.12
102,10035.94
262,10031.47
496,10014.83
299,10008.4
39,10005.61
285,10002.03
120,9997.59
312,9990.28
316,9989.49
423,9977.16
240,9974.24
115,9970.95
141,9967.43
153,9959.1
449,9958.61
135,9954.31
284,9951.01
441,9943.23
132,9940.86
9,9939.58
111,9935.98
419,9931.46
40,9930.91
48,9916.28
82,9899.41
313,9889.58
208,9882.41
470,9878.72
173,9878.55
6,9857.78
152,9853.2
185,9829.74
60,9821.53
235,9808.92
99,9801.45
437,9797.7
157,9796.4
138,9796.32
156,9789.97
360,9787.19
334,9785.68
89,9778.93
457,9769.36
192,9760.31
117,9758.64
165,9744.81
461,9737.37
494,9733.34
264,9722.63
199,9722.21
490,9715.7
324,9710.0
361,9703.37
159,9677.29
56,9649.710000000001
443,9612.85
354,9608.51
94,9598.97
133,9594.87
371,9594.17
404,9583.12
303,9577.08
116,9575.68
154,9566.49
161,9563.11
430,9561.539999999999
146,9554.97
413,9548.49
184,9520.89
63,9504.64
114,9496.47
444,9489.8
380,9487.63
274,9476.01
292,9465.06
4,9457.89
32,9451.54
69,9435.1
410,9406.74
389,9400.17
176,9390.14
204,9376.0
396,9370.67
105,9325.8
406,9325.65
338,9318.04
7,9315.47
300,9297.51
188,9275.91
390,9240.87
401,9218.82
456,9218.37
472,9200.92
408,9194.44
191,9173.75
123,9161.73
121,9160.63
412,9139.08
23,9129.61
22,9094.85
67,9093.52
57,9077.14
436,9037.76
229,8976.66
378,8957.99
20,8957.66
350,8954.59
307,8945.4
31,8887.98
194,8874.37
125,8873.87
237,8843.56
172,8824.45
364,8821.09
151,8811.81
217,8810.51
236,8797.77
72,8766.41
223,8727.46
42,8715.58
393,8710.88
175,8639.87
246,8559.66
190,8520.76
435,8496.27
486,8480.9
368,8480.31
266,8430.75
311,8413.59
288,8396.55
469,8380.26
474,8373.63
15,8296.2
356,8289.06
127,8251.74
479,8210.31
50,8185.07
420,8183.59
452,8019.06
86,7928.03
294,7831.63
19,7674.08
365,7098.29
